facility_id,level,requirements
stash,1,
stash,2,"[{""type"":""item"",""param1"":""gold"",""param2"":100}]"
stash,3,"[{""type"":""item"",""param1"":""gold"",""param2"":200}]"
stash,4,"[{""type"":""item"",""param1"":""gold"",""param2"":400}]"
stash,5,"[{""type"":""item"",""param1"":""gold"",""param2"":800}]"
lodge,1,"[{""type"":""facility"",""param1"":""stash"",""param2"":2}]"
lodge,2,"[{""type"":""facility"",""param1"":""stash"",""param2"":3}, {""type"":""item"",""param1"":""gold"",""param2"":150}]"
lodge,3,"[{""type"":""facility"",""param1"":""stash"",""param2"":4}, {""type"":""item"",""param1"":""gold"",""param2"":200}]"
lodge,4,"[{""type"":""facility"",""param1"":""stash"",""param2"":5}, {""type"":""item"",""param1"":""gold"",""param2"":400}]"
lodge,5,"[{""type"":""facility"",""param1"":""stash"",""param2"":5}, {""type"":""item"",""param1"":""gold"",""param2"":800}]"
processing,1,"[{""type"":""facility"",""param1"":""farm"",""param2"":1},{""type"":""facility"",""param1"":""mine"",""param2"":1}]"
processing,2,"[{""type"":""item"",""param1"":""gold"",""param2"":100}]"
processing,3,"[{""type"":""item"",""param1"":""gold"",""param2"":200}]"
processing,4,"[{""type"":""item"",""param1"":""gold"",""param2"":400}]"
processing,5,"[{""type"":""item"",""param1"":""gold"",""param2"":800}]"
trading,1,"[{""type"":""facility"",""param1"":""processing"",""param2"":1}, {""type"":""item"",""param1"":""gold"",""param2"":100}]"
trading,2,"[{""type"":""facility"",""param1"":""processing"",""param2"":2}, {""type"":""item"",""param1"":""gold"",""param2"":100}]"
trading,3,"[{""type"":""facility"",""param1"":""processing"",""param2"":3}, {""type"":""item"",""param1"":""gold"",""param2"":100}]"
trading,4,"[{""type"":""facility"",""param1"":""processing"",""param2"":4}, {""type"":""item"",""param1"":""gold"",""param2"":100}]"
trading,5,"[{""type"":""facility"",""param1"":""processing"",""param2"":5}, {""type"":""item"",""param1"":""gold"",""param2"":100}]"
farm,1,"[{""type"":""facility"",""param1"":""lodge"",""param2"":1}]"
farm,2,"[{""type"":""item"",""param1"":""bread"",""param2"":2}]"
farm,3,"[{""type"":""item"",""param1"":""bread"",""param2"":8}]"
farm,4,"[{""type"":""item"",""param1"":""bread"",""param2"":8}]"
farm,5,"[{""type"":""item"",""param1"":""bread"",""param2"":16}]"
mine,1,"[{""type"":""facility"",""param1"":""lodge"",""param2"":1}]"
mine,2,"[{""type"":""item"",""param1"":""steel"",""param2"":2}]"
mine,3,"[{""type"":""item"",""param1"":""steel"",""param2"":4}]"
mine,4,"[{""type"":""item"",""param1"":""steel"",""param2"":8}]"
mine,5,"[{""type"":""item"",""param1"":""steel"",""param2"":16}]"
ranch,1,"[{""type"":""facility"",""param1"":""processing"",""param2"":2}, {""type"":""item"",""param1"":""bread"",""param2"":2}]"
ranch,2,"[{""type"":""item"",""param1"":""cookedmeat"",""param2"":2}]"
ranch,3,"[{""type"":""item"",""param1"":""cookedmeat"",""param2"":4}]"
ranch,4,"[{""type"":""item"",""param1"":""cookedmeat"",""param2"":8}]"
ranch,5,"[{""type"":""item"",""param1"":""cookedmeat"",""param2"":16}]"
fishery,1,"[{""type"":""facility"",""param1"":""processing"",""param2"":2}, {""type"":""item"",""param1"":""steel"",""param2"":2}]"
fishery,2,"[{""type"":""item"",""param1"":""cannedfish"",""param2"":2}]"
fishery,3,"[{""type"":""item"",""param1"":""cannedfish"",""param2"":4}]"
fishery,4,"[{""type"":""item"",""param1"":""cannedfish"",""param2"":8}]"
fishery,5,"[{""type"":""item"",""param1"":""cannedfish"",""param2"":16}]"
