id,gridX,gridY,productItem,cooltime,workers,requiredStat
farm_basic,2,2,"{""itemId"":""wheat"",""itemProductCount"":1}",10,1,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
farm_medium1,3,2,"{""itemId"":""wheat"",""itemProductCount"":1}",10,3,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
farm_medium2,2,3,"{""itemId"":""wheat"",""itemProductCount"":1}",10,3,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
farm_advanced1,4,4,"{""itemId"":""wheat"",""itemProductCount"":1}",10,3,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
farm_advanced2,2,4,"{""itemId"":""wheat"",""itemProductCount"":1}",10,2,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
farm_advanced3,4,2,"{""itemId"":""wheat"",""itemProductCount"":2}",10,2,"[{""statId"":""str"",""rate"":3},{""statId"":""int"",""rate"":1}]"
mine_basic,2,2,"{""itemId"":""ore"",""itemProductCount"":1}",10,2,"[{""statId"":""str"",""rate"":4}]"
mine_medium,3,3,"{""itemId"":""ore"",""itemProductCount"":2}",10,3,"[{""statId"":""str"",""rate"":4}]"
mine_advanced,4,4,"{""itemId"":""ore"",""itemProductCount"":3}",8,4,"[{""statId"":""str"",""rate"":4}]"
ranch_basic,2,2,"{""itemId"":""meat"",""itemProductCount"":1}",10,2,"[{""statId"":""agi"",""rate"":3},{""statId"":""end"",""rate"":1}]"
ranch_medium,3,3,"{""itemId"":""meat"",""itemProductCount"":2}",10,3,"[{""statId"":""agi"",""rate"":3},{""statId"":""end"",""rate"":1}]"
ranch_advanced,4,4,"{""itemId"":""meat"",""itemProductCount"":3}",8,4,"[{""statId"":""agi"",""rate"":3},{""statId"":""end"",""rate"":1}]"
fishery_basic,2,2,"{""itemId"":""fish"",""itemProductCount"":1}",10,2,"[{""statId"":""agi"",""rate"":2},{""statId"":""int"",""rate"":2}]"
fishery_medium,3,3,"{""itemId"":""fish"",""itemProductCount"":2}",10,3,"[{""statId"":""agi"",""rate"":2},{""statId"":""int"",""rate"":2}]"
fishery_advanced,4,4,"{""itemId"":""fish"",""itemProductCount"":3}",8,4,"[{""statId"":""agi"",""rate"":2},{""statId"":""int"",""rate"":2}]"
