facility_id,level,grid,productAreas,storageSlots
farm,1,5,"{""small_farm"":-1}",10
farm,2,6,"{""small_farm"":-1,""medium_farm"":-1}",15
farm,3,7,"{""small_farm"":-1,""medium_farm"":-1,""big_farm"":-1}",20
farm,4,8,"{""small_farm"":-1,""medium_farm"":-1,""big_farm"":-1}",25
farm,5,9,"{""small_farm"":-1,""medium_farm"":-1,""big_farm"":-1}",30
mine,1,5,"{""small_mine"":-1}",10
mine,2,6,"{""small_mine"":-1,""medium_mine"":-1}",15
mine,3,7,"{""small_mine"":-1,""medium_mine"":-1,""big_mine"":-1}",20
mine,4,8,"{""small_mine"":-1,""medium_mine"":-1,""big_mine"":-1}",25
mine,5,9,"{""small_mine"":-1,""medium_mine"":-1,""big_mine"":-1}",30
ranch,1,5,"{""small_ranch"":-1}",10
ranch,2,6,"{""small_ranch"":-1,""medium_ranch"":-1}",15
ranch,3,7,"{""small_ranch"":-1,""medium_ranch"":-1,""big_ranch"":-1}",20
ranch,4,8,"{""small_ranch"":-1,""medium_ranch"":-1,""big_ranch"":-1}",25
ranch,5,9,"{""small_ranch"":-1,""medium_ranch"":-1,""big_ranch"":-1}",30
fishery,1,5,"{""small_fishery"":-1}",10
fishery,2,6,"{""small_fishery"":-1,""medium_fishery"":-1}",15
fishery,3,7,"{""small_fishery"":-1,""medium_fishery"":-1,""big_fishery"":-1}",20
fishery,4,8,"{""small_fishery"":-1,""medium_fishery"":-1,""big_fishery"":-1}",25
fishery,5,9,"{""small_fishery"":-1,""medium_fishery"":-1,""big_fishery"":-1}",30
