id,grade,credit,required,reward
order-10001,Common,100,"[{""itemId"":""bread"",""count"":5}]","[{""itemId"":""gold"",""count"":500}]"
order-10002,Uncommon,250,"[{""itemId"":""steel"",""count"":3},{""itemId"":""bread"",""count"":2}]","[{""itemId"":""gold"",""count"":1200}]"
order-10003,Uncommon,300,"[{""itemId"":""bread"",""count"":10}]","[{""itemId"":""gold"",""count"":1500}]"
order-10004,Rare,500,"[{""itemId"":""cookedmeat"",""count"":5},{""itemId"":""steel"",""count"":2}]","[{""itemId"":""gold"",""count"":2500}]"
order-10005,Rare,600,"[{""itemId"":""bread"",""count"":15},{""itemId"":""steel"",""count"":3}]","[{""itemId"":""gold"",""count"":3000}]"
order-10006,Epic,1000,"[{""itemId"":""cookedmeat"",""count"":10},{""itemId"":""steel"",""count"":5}]","[{""itemId"":""gold"",""count"":5000}]"
order-10007,Epic,1500,"[{""itemId"":""bread"",""count"":20},{""itemId"":""steel"",""count"":8},{""itemId"":""cookedmeat"",""count"":5}]","[{""itemId"":""gold"",""count"":8000}]"
order-10011,Common,120,"[{""itemId"":""cannedfish"",""count"":10}]","[{""itemId"":""gold"",""count"":600}]"
order-10012,Uncommon,280,"[{""itemId"":""bread"",""count"":3},{""itemId"":""cannedfish"",""count"":5}]","[{""itemId"":""gold"",""count"":1300}]"
order-10013,Uncommon,350,"[{""itemId"":""cannedfish"",""count"":15}]","[{""itemId"":""gold"",""count"":1600}]"
order-10014,Rare,550,"[{""itemId"":""cannedfish"",""count"":10},{""itemId"":""steel"",""count"":2}]","[{""itemId"":""gold"",""count"":2700}]"
order-10015,Rare,650,"[{""itemId"":""cannedfish"",""count"":20},{""itemId"":""bread"",""count"":5}]","[{""itemId"":""gold"",""count"":3200}]"
order-10016,Epic,1100,"[{""itemId"":""cannedfish"",""count"":25},{""itemId"":""steel"",""count"":3}]","[{""itemId"":""gold"",""count"":5200}]"
order-10017,Epic,1600,"[{""itemId"":""cannedfish"",""count"":30},{""itemId"":""bread"",""count"":10},{""itemId"":""steel"",""count"":5}]","[{""itemId"":""gold"",""count"":8500}]"
order-10021,Common,110,"[{""itemId"":""cookedmeat"",""count"":3}]","[{""itemId"":""gold"",""count"":550}]"
order-10022,Common,130,"[{""itemId"":""steel"",""count"":2}]","[{""itemId"":""gold"",""count"":650}]"
order-10023,Uncommon,320,"[{""itemId"":""cookedmeat"",""count"":5},{""itemId"":""bread"",""count"":2}]","[{""itemId"":""gold"",""count"":1400}]"
order-10024,Uncommon,270,"[{""itemId"":""steel"",""count"":4}]","[{""itemId"":""gold"",""count"":1200}]"
order-10025,Rare,700,"[{""itemId"":""cookedmeat"",""count"":8},{""itemId"":""steel"",""count"":4}]","[{""itemId"":""gold"",""count"":3500}]"
order-10026,Epic,1050,"[{""itemId"":""cookedmeat"",""count"":12},{""itemId"":""steel"",""count"":6},{""itemId"":""bread"",""count"":5}]","[{""itemId"":""gold"",""count"":5000}]"
order-10027,Epic,1700,"[{""itemId"":""cookedmeat"",""count"":15},{""itemId"":""steel"",""count"":8},{""itemId"":""bread"",""count"":10}]","[{""itemId"":""gold"",""count"":9000}]"
