id,level,exp,orderList
region_capital,1,1000,"[{""orderId"":""order-10001"",""appearRate"":3},{""orderId"":""order-10002"",""appearRate"":1}]"
region_capital,2,2000,"[{""orderId"":""order-10003"",""appearRate"":2},{""orderId"":""order-10004"",""appearRate"":1}]"
region_capital,3,3000,"[{""orderId"":""order-10005"",""appearRate"":2}]"
region_capital,4,4000,"[{""orderId"":""order-10006"",""appearRate"":1}]"
region_capital,5,5000,"[{""orderId"":""order-10007"",""appearRate"":1}]"
region_coast,1,1000,"[{""orderId"":""order-10011"",""appearRate"":3},{""orderId"":""order-10012"",""appearRate"":1}]"
region_coast,2,2000,"[{""orderId"":""order-10013"",""appearRate"":2},{""orderId"":""order-10014"",""appearRate"":1}]"
region_coast,3,3000,"[{""orderId"":""order-10015"",""appearRate"":2}]"
region_coast,4,4000,"[{""orderId"":""order-10016"",""appearRate"":1}]"
region_coast,5,5000,"[{""orderId"":""order-10017"",""appearRate"":1}]"
region_forest,1,1000,"[{""orderId"":""order-10021"",""appearRate"":2},{""orderId"":""order-10022"",""appearRate"":2}]"
region_forest,2,2000,"[{""orderId"":""order-10023"",""appearRate"":2},{""orderId"":""order-10024"",""appearRate"":1}]"
region_forest,3,3000,"[{""orderId"":""order-10025"",""appearRate"":2}]"
region_forest,4,4000,"[{""orderId"":""order-10026"",""appearRate"":1}]"
region_forest,5,5000,"[{""orderId"":""order-10027"",""appearRate"":1}]"
